"InstanceFlexibilityGroup","InstanceFlexibilityRatio","InstanceId","Kind","ReservationOrderId","ReservationId","ReservedHours","SkuName","TotalReservedQuantity","UsageDate","UsedHours"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged","Reservation","7d31a72a-29d7-44c2-a927-698a688b00fa","31390740-304d-4128-92a5-334d0e12fe9c","24","NA","1","2024-06-17T00:00:00Z","1"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/SSISDB","Reservation","7d31a72a-29d7-44c2-a927-698a688b00fa","31390740-304d-4128-92a5-334d0e12fe9c","24","NA","1","2024-06-10T00:00:00Z","1"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged","Reservation","7d31a72a-29d7-44c2-a927-698a688b00fa","31390740-304d-4128-92a5-334d0e12fe9c","24","NA","1","2024-06-11T00:00:00Z","2"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/managedInstances/ahbfoo","Reservation","7d31a72a-29d7-44c2-a927-698a688b00fa","31390740-304d-4128-92a5-334d0e12fe9c","24","NA","1","2024-06-01T00:00:00Z","13"
"NA","0.25","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo","Reservation","7d31a72a-29d7-44c2-a927-698a688b00fa","31390740-304d-4128-92a5-334d0e12fe9c","6","NA","0.25","2024-06-01T00:00:00Z","0.5"
"NA","0.25","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","7d31a72a-29d7-44c2-a927-698a688b00fa","31390740-304d-4128-92a5-334d0e12fe9c","4","NA","0.25","2024-06-19T00:00:00Z","0.25"
"NA","4","/subscriptions/9EC51CFD-5CA7-4D76-8101-DD0A4ABC5674/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/databases/coreanalytics","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-16T00:00:00Z","1"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/managedInstances/ahbfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-16T00:00:00Z","3"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-16T00:00:00Z","7"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-16T00:00:00Z","9.25"
"NA","4","/subscriptions/9EC51CFD-5CA7-4D76-8101-DD0A4ABC5674/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/elasticPools/AEPool","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-16T00:00:00Z","2"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-08T00:00:00Z","14"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/SSISDB","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-08T00:00:00Z","1"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-01T00:00:00Z","5"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","16","NA","1","2024-06-19T00:00:00Z","2.25"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-02T00:00:00Z","13"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-09T00:00:00Z","2"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-09T00:00:00Z","21"
"NA","4","/subscriptions/9EC51CFD-5CA7-4D76-8101-DD0A4ABC5674/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/databases/coreanalytics","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-15T00:00:00Z","2"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","64","NA","4","2024-06-19T00:00:00Z","3"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","16","NA","1","2024-06-19T00:00:00Z","5"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-14T00:00:00Z","3.25"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/managedInstances/ahbfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-14T00:00:00Z","6"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-14T00:00:00Z","7"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-10T00:00:00Z","3.25"
"NA","4","/subscriptions/9EC51CFD-5CA7-4D76-8101-DD0A4ABC5674/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/databases/coreanalytics","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-06T00:00:00Z","1"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-03T00:00:00Z","3"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","16","NA","1","2024-06-19T00:00:00Z","7"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-18T00:00:00Z","6"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/SSISDB","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-12T00:00:00Z","2"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-12T00:00:00Z","6"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/managedInstances/ahbfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-12T00:00:00Z","3"
"NA","4","/subscriptions/9EC51CFD-5CA7-4D76-8101-DD0A4ABC5674/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/databases/coreanalytics","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-12T00:00:00Z","4"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-16T00:00:00Z","9"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-12T00:00:00Z","9.25"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-12T00:00:00Z","5"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-12T00:00:00Z","6"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-09T00:00:00Z","1"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-13T00:00:00Z","14"
"NA","4","/subscriptions/9EC51CFD-5CA7-4D76-8101-DD0A4ABC5674/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/elasticPools/AEPool","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-13T00:00:00Z","1"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-05T00:00:00Z","8"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-03T00:00:00Z","4"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-18T00:00:00Z","3"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/SSISDB","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-18T00:00:00Z","3"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-06T00:00:00Z","1"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-06T00:00:00Z","12.75"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-04T00:00:00Z","17"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-04T00:00:00Z","5"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/SSISDB","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-16T00:00:00Z","2"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-07T00:00:00Z","13"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-06T00:00:00Z","6"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-06T00:00:00Z","2.25"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/managedInstances/ahbfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-06T00:00:00Z","9"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-15T00:00:00Z","5"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/SSISDB","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-15T00:00:00Z","3"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-05T00:00:00Z","2"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-14T00:00:00Z","4"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-18T00:00:00Z","11.25"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-18T00:00:00Z","7"
"NA","4","/subscriptions/9EC51CFD-5CA7-4D76-8101-DD0A4ABC5674/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/elasticPools/AEPool","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-08T00:00:00Z","2"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-16T00:00:00Z","2"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-10T00:00:00Z","2.25"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/nonmanaged","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-10T00:00:00Z","6"
"NA","4","/subscriptions/9EC51CFD-5CA7-4D76-8101-DD0A4ABC5674/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/elasticPools/AEPool","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-11T00:00:00Z","1"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-11T00:00:00Z","14"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/SSISDB","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-11T00:00:00Z","1"
"NA","4","/subscriptions/9EC51CFD-5CA7-4D76-8101-DD0A4ABC5674/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/databases/coreanalytics","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-11T00:00:00Z","2"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/managedInstances/ahbfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-15T00:00:00Z","6"
"NA","4","/subscriptions/9EC51CFD-5CA7-4D76-8101-DD0A4ABC5674/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/elasticPools/AEPool","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-15T00:00:00Z","2"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-15T00:00:00Z","5.5"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-05T00:00:00Z","14"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/ahbtestfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-04T00:00:00Z","2"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest2/databases/SSISDB","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-14T00:00:00Z","2"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/databases/foo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-14T00:00:00Z","11.25"
"NA","1","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/servers/ahbtest1/elasticPools/AHBEp","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","24","NA","1","2024-06-11T00:00:00Z","4"
"NA","4","/subscriptions/9EC51CFD-5CA7-4D76-8101-DD0A4ABC5674/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/elasticPools/AEPool","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-14T00:00:00Z","2"
"NA","4","/subscriptions/9EC51CFD-5CA7-4D76-8101-DD0A4ABC5674/resourceGroups/AnalyticsEngine/providers/Microsoft.Sql/servers/treyanalyticsengine/databases/coreanalytics","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-14T00:00:00Z","5"
"NA","4","/subscriptions/1CAAA5A3-2B66-438E-8AB4-BCE37D518C5D/resourceGroups/AHBTest/providers/Microsoft.Sql/managedInstances/ahbfoo","Reservation","d4da36a8-5fd3-4037-8eb5-8081337a7e3e","91cfc6fc-8b09-4cd3-b15a-80c41285dea6","96","NA","4","2024-06-02T00:00:00Z","3"
